Company,Founded In,Current Status,Sector,Headquarters,Total Funding,Valuation,Years to Unicorn,,Company Name,Operating Revenue (FY23),Operating Revenue (FY22),Loss/ Profit (FY23),Loss/ Profit (FY22),Employee Benefit (FY23),Employee Benefit (FY22),Advertisement Spends (FY23),Advertisement Spend (FY22)
Amagi,2008,Private Limited,Enterprisetech,Bengaluru,$240.2 Mn,$1 Bn+,14.1 years,#N/A,Acko,"1,758.60","1,334.40",-738.5,-482.3,349.3,183,559.2,309
Apna,2019,Private Limited,Enterprisetech,Bengaluru,$193.5 Mn,$1.1 Bn,2.4 years,180.3,Atlan,93.9,32.8,7.74,9.52,40.6,14.3,3.38,9.11
BharatPe,2018,Private Limited,Fintech,Delhi NCR,$700.5 Mn,$2.9 Bn,3.4 Years,#N/A,Apna,180.3,63.8,-120.3,-112.5,203.7,77.8,62,86
BigBasket,2011,Acquired by Tata Digital,Consumer Services,Bengaluru,$1.1 Bn,$1.8 Bn,7.6 Years,#N/A,Ather Energy,"1,783.60",408.5,-864.5,-344.1,334.9,113.9,203.8,45.5
BillDesk,2000,Acquired by PayU,Fintech,Mumbai,$241.4 Mn,$2.5 Bn,18 years,#N/A,Awfis,545.3,257,-46.6,-57.1,95.8,54.1,–,–
BlackBuck,2015,Private Limited,Logistics,Bengaluru,$364 Mn,$1 Bn,6.3 years,#N/A,BankBazaar,158.69,95.52,-36.71,-43.2,92.58,80.6,28.3,22.3
Blinkit (Grofers),2013,Private Limited,Consumer Services,Delhi NCR,$1 Bn,$1 Bn,6.4 years,#N/A,Beardo,106.6,94.8,-6.1,0.7,12.6,10.5,41.3,40.5
BrowserStack,2011,Private Limited,Enterprisetech,Mumbai,$250 Mn,$4 Bn,6.1 years,#N/A,Bigbasket B2B,"9,468.40","8,497.70","-1,785.40","-1,040.60","1,060.70",915.1,385.1,200.4
BYJU’S,2011,Private Limited,Edtech,Bengaluru,$5.3 Bn,$22 Bn,7 years,#N/A,Bigbasket B2C,"7,434","7,095.90","-1,535.20",-812.7,915.6,739.2,384.7,183.9
CarDekho,2006,Private Limited,Consumer Services,Delhi NCR,$497.5 Mn,$1.2 Bn,14.8 years,#N/A,Bira 91,824.3,718.8,-445.4,-396,114.9,93.5,85.5,99.5
CARS24,2015,Private Limited,Ecommerce,Delhi-NCR,$1.3 Bn,$3.3 Bn,5.3 years,#N/A,BlueStone,770.7,461.3,"-1,268.40",-167.2,91.1,41.7,84.1,42.3
Chargebee,2011,Private Limited,Fintech,Chennai,$468 Mn,$3.5 Bn,9.9 years,#N/A,boAt,"3,376.70","2,872.90",-129.4,68.7,99.4,56.1,427.6,99
CoinDCX,2018,Private Limited,Fintech,Mumbai,$244 Mn,$2 Bn,3.3 years,#N/A,BookMyShow,975.5,277.1,85.1,-92.2,137.6,111.9,53.6,9.6
